
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Per??odo: 23/03 a 25/03 (3 Dias Acumulados)

[24/03/2026, 02:00:00] [WIN] Trade #294 | Lote: 0.03 | P&L: +$93.39 | Saldo: $4110.53 ???
[24/03/2026, 02:15:00] [WIN] Trade #295 | Lote: 0.03 | P&L: +$132.27 | Saldo: $4242.80 ???
[24/03/2026, 02:30:00] [WIN] Trade #296 | Lote: 0.03 | P&L: +$86.52 | Saldo: $4329.32 ???
[24/03/2026, 02:45:00] [LOSS] Trade #105 | Lote: 0.03 | P&L: $-40.97 | Saldo: $4288.36 ???
[24/03/2026, 03:00:00] [WIN] Trade #298 | Lote: 0.01 | P&L: +$18.04 | Saldo: $4306.40 ???
[24/03/2026, 03:15:00] [WIN] Trade #299 | Lote: 0.01 | P&L: +$12.55 | Saldo: $4318.95 ???
[24/03/2026, 03:30:00] [WIN] Trade #300 | Lote: 0.01 | P&L: +$26.41 | Saldo: $4345.36 ???
[24/03/2026, 03:45:00] [LOSS] Trade #109 | Lote: 0.01 | P&L: $-7.27 | Saldo: $4338.09 ???
[24/03/2026, 04:00:00] [LOSS] Trade #110 | Lote: 0.01 | P&L: $-5.34 | Saldo: $4332.74 ???
[24/03/2026, 04:15:00] [LOSS] Trade #111 | Lote: 0.01 | P&L: $-11.91 | Saldo: $4320.83 ???
[24/03/2026, 04:30:00] [WIN] Trade #304 | Lote: 0.01 | P&L: +$12.06 | Saldo: $4332.89 ???
[24/03/2026, 04:45:00] [WIN] Trade #305 | Lote: 0.01 | P&L: +$17.48 | Saldo: $4350.37 ???
[24/03/2026, 05:00:00] [LOSS] Trade #114 | Lote: 0.01 | P&L: $-12.85 | Saldo: $4337.53 ???
[24/03/2026, 05:15:00] [WIN] Trade #307 | Lote: 0.01 | P&L: +$12.88 | Saldo: $4350.41 ???
[24/03/2026, 05:30:00] [WIN] Trade #308 | Lote: 0.01 | P&L: +$52.90 | Saldo: $4403.31 ???
[24/03/2026, 05:45:00] [LOSS] Trade #117 | Lote: 0.01 | P&L: $-12.68 | Saldo: $4390.63 ???
[24/03/2026, 06:00:00] [WIN] Trade #310 | Lote: 0.01 | P&L: +$32.73 | Saldo: $4423.36 ???
[24/03/2026, 06:15:00] [LOSS] Trade #119 | Lote: 0.01 | P&L: $-18.87 | Saldo: $4404.49 ???
[24/03/2026, 06:30:00] [WIN] Trade #312 | Lote: 0.01 | P&L: +$22.35 | Saldo: $4426.84 ???
[24/03/2026, 06:45:00] [WIN] Trade #313 | Lote: 0.01 | P&L: +$31.93 | Saldo: $4458.77 ???
[24/03/2026, 07:00:00] [WIN] Trade #314 | Lote: 0.01 | P&L: +$25.69 | Saldo: $4484.46 ???
[24/03/2026, 07:15:00] [WIN] Trade #315 | Lote: 0.01 | P&L: +$19.13 | Saldo: $4503.59 ???
[24/03/2026, 07:30:00] [WIN] Trade #316 | Lote: 0.02 | P&L: +$24.88 | Saldo: $4528.47 ???
[24/03/2026, 07:45:00] [WIN] Trade #317 | Lote: 0.02 | P&L: +$62.46 | Saldo: $4590.93 ???
