
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Per??odo: 23/03 a 25/03 (3 Dias Acumulados)

[24/03/2026, 14:00:00] [LOSS] Trade #150 | Lote: 0.02 | P&L: $-23.86 | Saldo: $3357.77 ???
[24/03/2026, 14:15:00] [WIN] Trade #343 | Lote: 0.01 | P&L: +$26.10 | Saldo: $3383.87 ???
[24/03/2026, 14:30:00] [WIN] Trade #344 | Lote: 0.01 | P&L: +$19.91 | Saldo: $3403.78 ???
[24/03/2026, 14:45:00] [WIN] Trade #345 | Lote: 0.01 | P&L: +$32.36 | Saldo: $3436.14 ???
[24/03/2026, 15:00:00] [WIN] Trade #346 | Lote: 0.01 | P&L: +$24.42 | Saldo: $3460.56 ???
[24/03/2026, 15:15:00] [WIN] Trade #347 | Lote: 0.02 | P&L: +$34.22 | Saldo: $3494.78 ???
[24/03/2026, 15:30:00] [LOSS] Trade #156 | Lote: 0.02 | P&L: $-18.89 | Saldo: $3475.89 ???
[24/03/2026, 15:45:00] [WIN] Trade #349 | Lote: 0.01 | P&L: +$21.73 | Saldo: $3497.62 ???
[24/03/2026, 16:00:00] [WIN] Trade #350 | Lote: 0.01 | P&L: +$11.93 | Saldo: $3509.55 ???
[24/03/2026, 16:15:00] [WIN] Trade #351 | Lote: 0.01 | P&L: +$14.01 | Saldo: $3523.56 ???
[24/03/2026, 16:30:00] [WIN] Trade #352 | Lote: 0.01 | P&L: +$15.88 | Saldo: $3539.44 ???
[24/03/2026, 16:45:00] [WIN] Trade #353 | Lote: 0.02 | P&L: +$17.96 | Saldo: $3557.40 ???
[24/03/2026, 17:00:00] [WIN] Trade #354 | Lote: 0.02 | P&L: +$76.26 | Saldo: $3633.66 ???
[24/03/2026, 17:15:00] [WIN] Trade #355 | Lote: 0.03 | P&L: +$35.16 | Saldo: $3668.82 ???
[24/03/2026, 17:30:00] [WIN] Trade #356 | Lote: 0.03 | P&L: +$74.85 | Saldo: $3743.67 ???
[24/03/2026, 17:45:00] [WIN] Trade #357 | Lote: 0.03 | P&L: +$66.39 | Saldo: $3810.06 ???
[24/03/2026, 18:00:00] [WIN] Trade #358 | Lote: 0.03 | P&L: +$29.82 | Saldo: $3839.88 ???
[24/03/2026, 18:15:00] [LOSS] Trade #167 | Lote: 0.03 | P&L: $-33.96 | Saldo: $3805.92 ???
[24/03/2026, 18:30:00] [WIN] Trade #360 | Lote: 0.01 | P&L: +$28.55 | Saldo: $3834.47 ???
[24/03/2026, 18:45:00] [WIN] Trade #361 | Lote: 0.01 | P&L: +$17.33 | Saldo: $3851.80 ???
[24/03/2026, 19:00:00] [WIN] Trade #362 | Lote: 0.01 | P&L: +$17.30 | Saldo: $3869.10 ???
[24/03/2026, 19:15:00] [WIN] Trade #363 | Lote: 0.01 | P&L: +$11.28 | Saldo: $3880.38 ???
[24/03/2026, 19:30:00] [LOSS] Trade #172 | Lote: 0.02 | P&L: $-12.34 | Saldo: $3868.04 ???
[24/03/2026, 19:45:00] [WIN] Trade #365 | Lote: 0.01 | P&L: +$7.87 | Saldo: $3875.91 ???
[24/03/2026, 20:00:00] [WIN] Trade #366 | Lote: 0.01 | P&L: +$6.91 | Saldo: $3882.82 ???
[24/03/2026, 20:15:00] [WIN] Trade #367 | Lote: 0.01 | P&L: +$85.11 | Saldo: $3967.93 ???
